"","y","w","age","polviews","income","educ","marital","sex"
"176",0,0,39,3,12,14,1,2
"177",0,0,37,3,10,12,1,2
"178",0,1,66,2,10,11,2,2
"179",0,0,51,4,11,12,2,2
"180",0,0,38,5,11,12,1,1
"181",0,0,27,3,12,13,5,2
"182",0,1,63,4,12,13,1,1
"183",1,0,66,4,3,14,2,2
"184",1,0,37,4,12,12,1,2
"185",0,0,28,1,10,16,1,2
"186",0,1,36,6,12,16,1,2
"187",1,0,83,4,11,8,2,2
"189",0,1,24,4,12,15,5,1
"190",1,1,62,6,12,14,1,2
"191",0,1,46,4,12,12,1,2
"192",0,0,22,2,9,16,5,2
"193",0,1,81,4,11,8,1,1
"194",1,1,39,4,8,14,3,2
"195",0,1,40,4,12,16,1,2
"196",1,0,44,5,12,18,3,1
"198",0,0,39,2,12,16,5,1
"199",0,1,21,4,9,11,5,2
"200",0,1,45,3,7,14,5,1
"201",0,1,31,3,7,13,5,1
"202",0,0,58,4,12,13,3,1
"203",0,0,32,6,12,11,5,1
"204",0,0,51,5,12,14,1,1
"205",1,1,35,6,12,14,3,2
"206",0,0,25,5,12,12,1,2
"207",0,1,36,3,12,16,1,2
"208",0,1,65,6,12,12,2,2
"209",1,0,63,5,8,10,1,2
"210",0,1,48,6,12,11,1,2
"211",0,0,62,4,12,15,1,1
"212",0,1,68,4.1220088,5,12,2,1
"213",1,0,24,6,12,12,5,1
"214",0,1,31,4,10,12,1,1
"215",0,0,46,3,4,8,3,2
"216",0,0,30,4,12,14,1,1
"217",0,1,40,3,12,14,1,1
"218",0,0,19,1,12,12,5,2
"219",0,1,25,4,9,16,5,2
"220",0,0,27,3,12,16,5,1
"221",1,0,22,4,10,12,5,2
"222",0,1,58,4,12,19,1,1
"223",0,1,61,4,12,18,3,2
"225",1,0,33,5,12,12,1,2
"226",0,1,29,5,9,13,5,1
"227",0,1,60,4,12,12,1,2
"228",0,1,39,2,12,16,1,1
"229",0,1,32,4,11,18,1,1
"230",0,1,27,4,10,12,5,2
"231",0,1,26,2,10,17,5,1
"232",1,0,34,1,7,13,3,2
"233",1,1,32,4,9,11,3,2
"234",0,0,63,4,12,15,1,2
"235",1,0,75,5,12,12,1,2
"237",0,0,57,4,12,17,1,1
"238",1,1,63,6,12,20,1,1
"239",0,1,41,4,12,15,1,2
"240",1,0,50,6,12,12,1,2
"242",0,1,30,5,12,12,1,2
"243",0,1,21,4,12,12,5,1
"244",0,1,70,5,12,15,1,1
"245",0,0,52,4,12,12,1,2
"246",1,0,51,2,9,12,3,1
"247",0,1,26,6,10,11,1,1
"248",0,0,36,3,12,12,1,2
"249",0,0,29,3,1,11,5,1
"250",0,0,54,6,12,10,1,1
"251",0,1,28,7,12,12,1,1
"252",0,0,41,5,12,19,3,1
"253",1,1,34,3,12,14,1,2
"255",1,0,32,7,12,14,1,2
"256",0,0,35,3,7,16,1,1
"257",1,0,70,4,9,16,2,2
"258",0,0,50,4,12,16,1,1
"259",0,0,28,5,12,18,1,1
"260",0,1,43,5,12,15,4,1
"261",0,1,34,2,11,20,1,1
"262",0,1,31,4,12,16,1,1
"263",0,1,31,2,12,12,1,2
"264",0,1,30,6,12,10,1,1
"265",0,0,29,2,4,13,5,1
"266",1,0,33,3,10,12,3,2
"267",0,1,37,4,10,12,3,2
"268",1,0,36,4,12,13,5,1
"269",0,0,34,3,12,16,1,2
"270",0,1,48,2,12,18,1,2
"271",0,0,69,4.1220088,9,12,2,2
"272",0,0,70,4,4,12,5,2
"273",0,1,21,4,12,12,5,2
"274",1,0,20,1,11,12,5,1
"275",0,1,33,4,10,9,3,1
"276",0,1,43,4.1220088,11,8,1,1
"277",0,1,53,2,12,7,1,1
"278",0,0,43,4,12,12,4,2
"279",1,0,71,5,4,6,2,2
"280",0,1,56,4.1220088,12,12,1,2
"281",0,1,65,6,10,12,1,1
"283",0,1,47,6,11,12,1,1
"284",0,1,51,3,4,2,4,1
"286",0,1,54,6,10,10,1,1
"287",1,0,50,4,12,10,1,1
"289",0,1,66,4,8,13,2,2
"290",0,0,89,4.1220088,4,7,2,2
"291",0,1,70,4,7,8,3,2
"292",0,1,73,4,4,10,2,2
"293",0,0,56,2,2,6,3,1
"296",1,0,35,5,12,15,1,1
"297",0,0,21,5,8,11,5,1
"298",1,0,74,4,12,16,2,1
"299",1,0,29,6,12,16,5,1
"300",0,0,34,4,12,13,1,1
"302",0,0,36,4,12,12,1,2
"303",0,0,80,6,11,17,1,2
"304",1,0,22,4,12,15,5,2
"305",0,0,78,2,11,16,2,2
"306",0,1,45,4,12,16,1,2
"309",1,0,39,5,12,18,1,1
"310",0,1,60,7,9,7,1,1
"311",0,1,42,5,11,12,1,1
"312",0,1,66,2,10,7,1,2
"313",0,1,33,2,12,12,1,1
"314",0,1,48,4,12,12,1,1
"315",0,1,40,3,12,18,1,2
"316",1,0,63,4,12,12,1,1
"318",0,0,59,4,12,12,1,1
"319",0,1,66,5,12,16,1,2
"320",0,1,57,4,12,16,1,1
"321",0,0,62,4,12,13,1,2
"322",0,1,41,5,12,12,5,2
"324",0,1,32,4,10,13,2,2
"325",0,0,45,2,9,13,1,2
"326",0,0,22,6,3,13,1,2
"327",0,1,81,4.1220088,5,9,1,2
"328",1,0,56,1,6,11,2,2
"329",0,0,29,5,11,16,5,2
"330",1,0,62,4,4,12,4,1
"331",1,0,51,4,10,12,1,2
"332",0,1,40,3,10,16,3,1
"333",1,1,61,4,9,12,5,2
"334",0,1,36,3,3,13,5,1
"335",0,0,33,4,12,15,3,1
"336",0,0,76,4,9,12,1,2
"337",0,1,67,1,2,12,2,2
"338",0,0,34,5,6,14,4,2
"339",1,0,38,4,9,11,5,2
"341",1,1,20,2,4,11,5,2
"342",0,0,45,4,10,12,5,1
"343",1,1,22,7,9,12,5,2
"344",1,0,20,3,7,13,5,2
"345",0,1,22,4,5,15,5,2
"346",0,0,25,3,7,14,5,1
"347",0,0,82,3,7,7,1,2
"348",0,0,29,4,8,12,1,1
"349",0,0,43,3,12,12,1,2
"350",1,1,41,6,12,12,1,1
"351",1,0,33,6,12,14,1,2
"352",0,1,28,2,10,12,1,2
"354",0,1,33,4,11,13,1,2
"356",0,1,45,4,7,16,5,1
"357",0,1,25,4,9,17,5,2
"358",0,1,25,3,3,17,5,1
"361",1,0,34,5,12,12,4,1
"363",0,0,30,3,9,12,1,2
"364",0,1,27,4,10,12,3,2
"365",1,0,20,4,2,12,5,2
"366",0,0,31,4,7,13,5,2
"367",0,0,35,3,3,12,5,2
"368",0,1,29,4,8,12,3,2
"370",0,1,62,4,9,16,1,1
"371",0,0,25,4,1,12,5,2
"372",0,0,31,1,1,10,4,2
"373",0,1,44,3,9,20,5,1
"374",0,1,31,2,10,11,5,2
"376",1,0,60,2,8,12,1,2
"378",0,0,38,4,11,12,1,1
"379",0,1,50,5,9,12,2,2
"380",0,1,19,2,10,12,5,1
"381",0,1,60,4,12,8,1,1
"382",0,1,23,5,8,16,5,2
"383",0,1,31,4,12,16,5,1
"384",0,1,25,3,6,12,4,2
"385",0,1,27,4.1220088,12,15,5,2
"386",0,1,35,2,11,12,1,1
"387",1,0,56,3,12,12,1,2
"388",0,0,41,6,11,12,1,1
"389",0,1,36,6,12,16,1,2
"390",0,1,59,4,12,12,1,2
"391",1,0,41,2,12,11,1,2
"392",0,1,72,3,10,12,1,1
"393",0,1,68,4,10,14,5,2
"394",0,1,71,4,12,7,1,1
"395",0,1,32,3,12,12,4,1
"396",0,1,39,3,12,16,5,1
"397",1,0,64,4,9,4,1,2
"398",0,0,36,4,12,14,1,1
"399",0,1,64,4,11,12,2,2
"400",0,0,66,4,12,10,1,1
"401",0,1,67,4,7,12,3,2
"402",1,0,45,4,10,9,3,2
"403",0,0,56,2,3,6,5,1
"404",1,0,42,2,12,13,3,1
"405",0,1,73,4,12,14,5,1
"407",0,1,27,5,10,16,1,2
"408",0,1,24,4,12,10,5,1
"410",0,1,61,2,12,12,1,2
"411",0,1,37,6,12,16,1,1
"412",0,1,51,5,10,12,2,2
"413",0,1,26,3,10,16,5,2
"414",0,1,20,5,12,12,5,2
"415",0,1,29,4,10,12,1,1
"416",0,1,25,6,11,16,5,1
"417",1,0,71,3,3,8,1,2
"418",0,1,78,4,4,8,2,2
"419",0,0,20,5,12,12,5,2
"420",0,1,30,2,11,12,1,2
"421",0,1,28,4,10,13,5,1
"422",0,0,57,4,11,12,1,2
"423",1,0,66,2,8,8,5,1
"424",0,1,32,4,11,12,1,2
"425",0,1,49,4,12,11,1,2
"426",0,1,50,5,3,18,5,1
"427",0,0,23,2,10,12,5,2
"428",1,0,66,4,12,12,2,2
"429",0,1,32,3,10,16,5,2
"430",0,0,48,1,11,17,2,2
"431",0,0,39,2,10,14,3,2
"432",0,1,56,5,9,16,3,2
"433",0,0,31,4,12,14,1,2
"434",0,1,55,5,12,14,1,1
"435",0,0,84,4.1220088,5,8,2,2
"436",0,0,40,4,12,14,1,1
"437",0,0,49,4,12,4,1,1
"438",1,0,41,6,12,19,1,1
"439",0,0,62,5,9,11,5,2
"440",0,1,69,4,12,8,1,2
"441",0,1,61,4,12,20,1,1
"442",0,1,59,1,3,9,2,2
"443",0,0,55,4,8,9,4,1
"444",0,0,49,3,3,12,5,2
"445",0,1,36,6,10,12,1,1
"446",0,0,58,3,6,7,1,1
"447",0,1,72,3,10,12,1,2
"448",0,0,22,4,3,15,5,2
"449",0,0,54,3,9,10,2,2
"450",1,0,33,4,12,16,1,2
"451",0,1,60,3,12,19,3,2
"452",1,0,43,3,12,16,1,2
"453",0,0,79,4,6,6,2,2
"454",1,0,35,4,12,18,1,2
"455",0,1,33,6,9,14,1,2
"456",1,0,44,5,12,14,3,2
"457",0,1,61,5,8,9,3,1
"458",0,0,31,1,8,14,3,1
"459",0,1,37,2,12,13,1,2
"460",0,0,28,5,12,14,1,1
"461",0,0,26,3,9,12,5,1
"462",0,1,59,6,12,15,2,2
"463",0,1,68,4,12,16,1,1
"464",0,0,25,5,12,16,5,1
"465",0,0,72,2,12,20,1,1
"466",0,1,49,6,12,14,1,2
"467",1,0,55,4,12,10,1,2
"468",0,1,38,6,12,12,1,2
"469",0,0,46,4,12,13,3,2
"470",0,1,31,5,12,12,1,1
"471",0,1,70,6,12,14,1,1
"472",0,0,61,4,12,15,1,1
"473",0,1,24,4,12,12,1,1
"474",1,1,23,4,12,12,5,2
"475",0,0,28,5,12,11,1,2
"476",0,1,55,4,12,12,1,1
"477",1,0,43,4,12,11,1,2
"478",0,0,27,4,12,16,1,2
"479",0,0,34,3,12,15,1,1
"480",0,0,44,6,12,13,1,1
"481",1,0,34,4,12,12,1,2
"482",0,1,40,6,12,16,1,1
"483",0,0,44,4,12,13,1,2
"484",0,0,68,6,10,12,1,1
"485",0,0,32,3,12,16,1,1
"486",0,0,35,4,12,16,3,2
"487",0,0,59,4,10,14,1,2
"488",0,0,39,4,12,16,1,2
"489",1,0,37,4,12,11,1,1
"490",0,1,29,4,12,12,1,2
"491",0,1,65,5,9,12,1,1
"493",0,1,43,4,11,13,1,1
"494",0,0,48,4,11,11,1,2
"495",0,1,30,5,12,14,1,2
"496",0,1,37,6,12,12,1,1
"497",1,0,34,6,11,12,1,2
"498",0,1,51,4,12,16,1,2
"500",0,1,43,7,12,12,1,2
"501",0,0,54,1,6,10,3,2
"502",0,1,76,4,12,12,1,2
"503",0,1,57,6,12,8,1,1
"504",1,0,23,4,10,13,1,2
"505",1,0,32,5,10,12,1,1
"506",1,0,30,4,12,12,1,1
"507",0,0,45,5,12,12,1,1
"508",1,0,32,3,12,12,1,2
"509",0,1,32,4,4,10,5,2
"510",0,0,21,5,1,12,1,1
"511",0,1,44,3,8,12,3,2
"512",0,1,30,5,3,11,5,2
"513",0,0,56,7,2,11,2,2
"514",0,0,19,5,9,10,5,1
"516",0,0,33,4,12,16,1,2
"517",0,0,28,4,12,12,1,2
"518",0,1,30,4,12,12,3,2
"519",0,1,39,4,10,16,1,1
"520",1,0,70,4,12,12,1,2
"521",1,0,35,4,9,12,3,1
"522",0,1,36,5,12,16,1,2
"523",1,0,65,5,12,12,1,2
"524",0,0,60,5,9,12,1,2
"525",0,0,60,4,12,12,1,1
"526",0,0,34,2,10,14,3,2
"527",0,1,51,5,12,19,3,1
"529",1,0,76,4,8,12,2,2
"530",0,0,78,4,3,8,2,2
"531",0,1,79,4,6,11,2,2
"532",1,0,56,4,12,14,1,1
"533",1,0,37,4,12,16,1,2
"534",0,1,26,5,12,14,5,2
"536",0,1,27,5,11,16,5,1
"537",1,0,26,4,10,11,1,1
"538",1,0,32,4,11,12,1,1
"539",0,1,30,4,12,14,1,2
"540",0,0,38,2,12,16,1,2
"541",0,0,29,2,11,16,1,2
"542",1,0,78,3,3,14,2,2
"543",0,0,55,3,12,12,1,2
"545",0,1,68,6,9,7,1,1
"546",0,0,38,4,12,12,3,1
"547",0,1,80,4,4,12,2,2
"548",0,1,24,6,8,11,1,1
"549",0,1,22,6,3,14,1,1
"550",0,0,51,4,8,12,2,2
"551",0,1,39,3,12,16,1,1
"552",0,1,39,5,12,17,1,1
"553",0,1,29,6,12,16,1,1
"554",0,1,51,4,12,12,1,2
"555",0,0,56,5,11,12,3,2
"556",0,1,33,4,11,9,1,1
"557",0,0,79,3,12,12,1,1
"558",0,0,40,1,12,12,1,1
"559",0,1,42,5,12,16,1,1
"560",0,1,31,4,10,12,5,1
"561",0,1,28,5,10,16,5,1
"562",1,1,37,6,12,18,1,2
"563",0,1,66,4,4,12,1,1
"564",0,1,39,4,12,16,1,1
"565",0,0,34,4,6,12,5,2
"566",0,0,32,4,12,12,1,1
"567",0,1,49,3,12,12,1,1
"568",0,1,81,6,4,12,2,2
"569",0,1,37,6,12,12,1,2
"570",1,0,54,4,11,12,1,2
"571",0,1,38,4,8,11,4,2
"572",0,1,36,2,9,12,1,1
"573",0,0,46,4,12,12,1,2
"574",0,1,27,2,9,12,5,2
"575",0,0,50,4,4,10,3,2
"576",0,0,31,4,10,12,5,1
"577",0,1,22,5,2,11,5,1
"578",0,1,61,5,12,9,1,2
"579",0,1,20,4,1,10,3,2
"580",0,1,25,5,3,10,4,2
"581",0,0,19,3,11,11,5,1
"582",0,1,29,3,12,12,3,2
"583",1,1,26,4,12,11,1,2
"584",0,0,58,4,12,12,1,1
"585",0,1,41,6,12,18,1,1
"586",0,1,37,5,12,16,1,1
"587",1,0,41,6,12,14,3,1
"588",0,1,23,3,10,12,5,2
"589",0,1,25,2,5,15,3,2
"590",0,0,23,5,12,12,5,2
"591",1,0,31,4,11,11,1,2
"592",1,0,27,3,9,14,1,1
"593",0,0,25,4,9,17,1,1
"594",1,1,85,7,7,9,2,2
"595",0,0,31,5,12,12,1,1
"596",0,1,48,4,11,12,1,2
"597",0,1,30,3,12,12,1,2
"598",0,0,29,5,12,14,1,1
"600",0,0,81,4,6,9,3,2
"601",0,1,69,4,5,9,2,2
"602",0,0,24,4,10,16,5,1
"603",0,1,30,6,10,12,3,2
"604",0,0,32,5,11,13,1,1
"605",0,1,80,5,10,12,2,2
"606",0,1,24,4,12,13,1,1
"607",0,0,37,5,12,12,1,1
"609",1,0,30,4,10,12,1,2
"610",0,1,21,2,9,12,5,2
"611",0,1,38,4,11,12,2,2
"612",0,0,56,3,12,11,1,2
"613",0,1,61,4,10,12,1,2
"614",0,1,43,4,12,12,1,2
"615",1,0,46,2,12,15,1,1
"616",0,1,63,4,9,12,1,2
"617",0,1,43,2,10,12,3,2
"618",0,0,41,2,12,12,1,2
"619",0,1,27,2,11,12,5,2
"620",1,0,24,4,9,12,5,1
"621",0,1,51,5,9,12,1,2
"622",0,0,25,3,5,14,1,2
"623",0,1,21,3,1,11,1,1
"624",0,1,48,4,12,12,1,2
"625",1,0,28,6,12,12,1,2
"626",0,0,44,4,12,10,1,1
"627",0,1,55,5,11,11,1,2
"628",1,0,23,6,12,12,5,2
"630",0,1,41,2,12,14,1,1
"631",1,0,28,3,10,12,3,2
"632",0,1,33,4,11,12,1,2
"633",1,0,27,4,7,11,1,2
"634",1,0,63,4,10,10,1,2
"635",1,0,36,6,9,12,3,2
"636",0,0,22,4,11,14,5,2
"638",0,0,50,4,11,12,1,2
"639",0,1,68,4,10,17,1,2
"640",0,1,42,3,12,13,1,2
"641",0,1,25,4,11,11,5,1
"642",0,0,60,4,11,10,1,1
"643",0,1,31,3,12,20,5,1
"644",0,0,21,6,9,13,5,1
"645",0,1,66,4,9,14,2,2
"646",0,1,30,4.1220088,9,19,5,2
"647",0,1,77,3,11,12,2,2
"648",0,1,67,4,12,16,5,2
"649",1,0,85,5,10,10,1,1
"650",0,1,34,2,11,16,1,2
"651",0,0,30,1,9,19,1,2
"652",1,0,26,3,6,12,5,1
"653",0,0,32,2,2,16,5,2
"654",1,0,60,4,10,8,2,2
"655",0,1,64,2,12,14,1,2
"656",0,0,28,3,12,10,1,1
"657",0,0,28,4,11,12,1,1
"658",0,1,29,3,12,16,1,1
"659",0,1,28,2,10,12,1,1
"660",1,0,49,6,12,16,3,1
"661",0,0,34,3,11,18,5,2
"662",1,0,29,6,12,16,5,1
"663",1,0,24,6,12,16,5,2
"664",0,1,32,2,12,20,3,2
"665",0,1,77,4.1220088,8,11,2,2
"666",1,1,26,4,12,16,1,1
"667",0,1,67,4.1220088,2,12,3,2
"668",0,1,32,4,10,12,1,2
"669",0,0,19,5,7,11,1,2
"671",1,0,24,5,9,12,1,1
"672",0,1,68,5,12,12,1,1
"674",0,0,68,4,9,14,2,2
"675",1,1,42,4,12,14,1,2
"676",1,1,30,5,12,16,1,2
"677",0,1,84,5,12,20,1,1
"678",1,0,70,6,9,12,2,1
"679",0,1,54,4.1220088,12,12,1,2
"680",0,1,26,4,1,12,4,2
"681",1,0,22,4,10,12,1,2
"682",1,0,27,2,11,15,5,2
"683",0,1,67,4,9,7,2,2
"684",0,0,71,4,5,5,2,2
"685",0,0,59,4,5,8,4,2
"686",0,0,34,6,10,16,1,1
"687",0,0,28,4.1220088,6,10,5,2
"688",0,0,35,5,9,11,1,2
"689",0,0,57,6,10,5,1,1
"690",0,1,73,4,8,8,1,2
"691",0,1,76,4.1220088,3,0,5,1
"692",1,0,66,4,6,9,2,2
"693",1,0,72,4,4,8,2,2
"694",0,1,52,4,9,15,1,2
"695",0,1,22,4,12,16,5,2
"696",0,1,56,5,9,14,1,1
"697",0,0,38,7,12,12,1,1
"698",0,1,70,5,9,10,3,2
"700",0,1,32,2,12,16,1,1
"701",1,0,31,6,4,12,1,2
"702",0,1,74,2,12,12,2,1
"704",0,0,54,4,12,13,1,2
"705",0,1,66,2,12,17,1,1
"706",0,1,50,1,11,11,1,2
"707",0,0,20,3,11,10,5,2
"708",0,0,65,6,9,12,1,2
"709",1,1,57,2,11,4,1,1
"710",1,0,64,4,10,10,1,2
"711",0,1,46,2,9,11,3,1
"713",0,0,79,4.1220088,5,6,2,2
"714",0,0,62,2,10,4,1,1
"715",0,0,49,4.1220088,6,11,4,2
"717",0,0,23,4,9,12,5,1
"718",1,0,30,4.1220088,10,4,1,1
"719",0,1,44,2,7,12,5,2
"720",1,0,53,2,10,12,1,2
"721",0,1,34,5,12,18,5,2
"722",0,0,41,5,9,13,3,2
"723",1,0,33,5,12,12,1,2
"724",1,0,51,2,12,9,1,2
"725",0,0,47,6,12,15,1,2
"726",0,0,26,4,11,11,1,1
"727",0,1,32,5,12,12,1,2
"728",0,1,21,3,3,13,5,1
"729",0,1,32,4,11,12,1,1
"730",1,1,38,3,11,16,1,2
"731",0,1,72,4,6,6,1,1
"732",0,0,45,4,9,12,3,2
"733",0,1,34,4,12,9,1,1
"734",0,1,82,6,9,12,2,2
"735",1,1,76,6,11,16,4,1
"736",0,1,62,4,8,12,1,2
"737",0,1,73,4,12,11,1,1
"740",0,1,50,4,12,12,1,1
"741",0,0,67,6,12,14,2,2
"742",1,0,34,7,12,14,1,1
"743",0,1,41,4,7,12,3,2
"744",1,0,71,4,10,14,3,1
"745",0,1,29,4,10,14,3,2
"746",0,1,49,4,12,16,1,2
"747",1,0,41,3,9,12,3,2
"748",0,1,81,4.1220088,4,9,3,2
"749",0,1,60,4,12,10,3,2
"750",0,1,57,5,6,12,2,2
"751",1,1,25,4,12,12,5,1
"752",0,1,38,3,11,20,1,1
"753",0,1,21,4,9,12,5,2
"754",1,0,55,7,12,12,2,2
"755",0,0,23,4,9,12,1,2
"756",0,1,50,6,11,15,3,1
"757",0,1,68,7,10,8,1,2
"758",0,1,32,2,9,12,1,2
"759",0,1,46,4,9,12,4,1
"760",0,0,31,3,9,11,3,1
"761",0,1,72,6,9,16,1,2
"762",1,0,80,5,9,8,2,2
"763",0,1,77,4.1220088,8,5,3,2
"765",0,1,46,4,10,11,1,2
"766",1,0,35,4,11,10,1,1
"767",0,0,39,6,12,17,5,2
"768",0,1,70,3,9,12,1,1
"769",1,0,25,2,11,13,1,2
"770",0,1,29,3,10,13,1,1
"771",0,1,21,4,8,13,5,2
"772",0,1,80,5,5,11,2,2
"773",0,0,62,2,12,11,1,1
"774",0,0,68,2,9,11,1,2
"775",0,1,69,4,11,8,1,2
"776",1,0,70,6,12,12,1,1
"777",0,1,60,4,8,10,2,2
"778",0,0,55,6,12,12,1,1
"781",0,1,55,4,12,12,1,1
"782",0,0,50,6,12,12,1,2
"783",0,0,39,5,12,12,1,2
"785",0,1,57,5,12,16,1,1
"786",0,0,79,6,12,14,2,1
"787",0,1,38,7,11,9,1,1
"788",0,1,59,2,8,12,3,2
"789",1,0,33,4,5,9,1,2
"790",0,0,37,3,9,15,5,2
"791",1,0,63,4,10,12,1,2
"792",1,0,26,5,12,15,1,1
"793",0,1,38,5,12,18,1,2
"794",0,1,38,2,5,11,3,2
"795",0,1,49,5,9,8,4,2
"796",1,0,45,4,11,10,1,1
"797",0,1,37,4,12,16,1,2
"798",0,1,35,5,10,12,1,2
